name,type,cube,rel,var,den,n=10,n=100,n=1000,n=10000,n=100000
II261_II279_1_C,sa1,7,0,9,2.4804687500e-01,9.4220268210e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II378,sa1,2,0,12,1.4648437500e-03,1.4552254196e-02,1.3635352663e-01,7.6913396748e-01,9.9999956987e-01,1.0000000000e+00
II369,sa1,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
II199,sa1,3,0,8,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
II487,sa1,10,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II488,sa0,10,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II256_II287_1_B,sa0,6,0,7,4.9218750000e-01,9.9885966128e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II193_II279_1_A,sa0,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
C_0,sa0,10,0,18,1.2548828125e-01,7.3838879846e-01,9.9999849837e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II488,sa1,2,0,8,2.3437500000e-02,2.1113909478e-01,9.0667363815e-01,9.9999999995e-01,1.0000000000e+00,1.0000000000e+00
II256_II287_1_B,sa1,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
II489,sa0,10,0,18,2.5048828125e-01,9.4405203750e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II193_II279_1_A,sa1,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
II195_II287_1_A,sa0,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
C_1,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
C_0,sa1,11,0,18,1.2548828125e-01,7.3838879846e-01,9.9999849837e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II265_II279_2_B,sa0,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
II248_II279_2_A,sa0,3,0,9,1.3671875000e-02,1.2860679022e-01,7.4756956582e-01,9.9999894945e-01,1.0000000000e+00,1.0000000000e+00
II489,sa1,12,0,18,6.2548828125e-01,9.9994571822e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II195_II287_1_A,sa1,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
C_1,sa1,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
C_2,sa0,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II265_II279_2_B,sa1,15,0,9,4.2382812500e-01,9.9596799975e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
II248_II279_2_A,sa1,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
C_3,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
C_2,sa1,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
C_4,sa0,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
C_3,sa1,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
C_4,sa1,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
C_5,sa0,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
C_6,sa0,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
C_5,sa1,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
C_7,sa0,1,0,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
C_6,sa1,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
C_8,sa0,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
C_7,sa1,1,0,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
C_8,sa1,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
P_1,sa0,1,0,4,6.2500000000e-02,4.7553952495e-01,9.9842555447e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
P_2,sa0,1,0,5,3.1250000000e-02,2.7202384333e-01,9.5820045528e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
P_1,sa1,10,0,18,2.8149414063e-01,9.6333065595e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7_P_8_A,sa0,1,0,12,2.4414062500e-04,2.4387257865e-03,2.4121358687e-02,2.1664588586e-01,9.1298757216e-01,9.9999999998e-01
P_3,sa0,1,0,6,1.5625000000e-02,1.4570915024e-01,7.9295843252e-01,9.9999985526e-01,1.0000000000e+00,1.0000000000e+00
P_2,sa1,10,0,18,2.9711914063e-01,9.7056817659e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
Y_7_P_8_A,sa1,1,0,11,4.8828125000e-04,4.8720976218e-03,4.7666556569e-02,3.8639292465e-01,9.9243335102e-01,1.0000000000e+00
P_4,sa0,1,0,7,7.8125000000e-03,7.5434863403e-02,5.4356900259e-01,9.9960757984e-01,1.0000000000e+00,1.0000000000e+00
P_3,sa1,10,0,18,3.0493164063e-01,9.7368064804e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
P_5,sa0,1,0,8,3.9062500000e-03,3.8382958384e-02,3.2388353489e-01,9.8003749113e-01,1.0000000000e+00,1.0000000000e+00
P_4,sa1,10,0,18,3.0883789063e-01,9.7512293081e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
P_6,sa0,1,0,9,1.9531250000e-03,1.9360479644e-02,1.7757952141e-01,8.5844045473e-01,9.9999999677e-01,1.0000000000e+00
P_5,sa1,10,0,18,3.1079101563e-01,9.7581704867e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00
P_7,sa0,1,0,10,9.7656250000e-04,9.7228212237e-03,9.3082656509e-02,6.2357620194e-01,9.9994288230e-01,1.0000000000e+00
P_6,sa1,10,0,18,3.1176757813e-01,9.7615752812e-01,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00,1.0000000000e+00

circuit fault coverage,,,,,4.9435535383e-01,8.0834175958e-01,9.6263135465e-01,9.9960164439e-01,1.0000000000e+00
